sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
1,1,43.1,42.3599,85.4599,43.1,100.0,0.0,200.0,100.0,0.0,360.0,45.59,55122.08,30881.24,33119.0,116356.0,22000.0
1,2,50.0,-2.765,47.235,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,55122.08,30881.24,33119.0,116356.0,22000.0
1,3,-0.0,14.1229,14.1229,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,55122.08,30881.24,33119.0,116356.0,22000.0
1,4,-0.0,10.1483,10.1483,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,55122.08,30881.24,33119.0,116356.0,22000.0
1,5,50.0,-2.3465,47.6535,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,47.65,55122.08,30881.24,33119.0,116356.0,22000.0
1,6,50.0,21.4893,71.4893,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,55122.08,30881.24,33119.0,116356.0,22000.0
2,1,43.1,35.5931,78.6931,43.1,100.0,0.0,200.0,100.0,0.0,360.0,44.8,42169.57,28639.12,31088.0,108928.0,17000.0
2,2,50.0,-1.8852,48.1148,50.0,200.0,10.0,100.0,-0.0,90.0,0.0,50.0,42169.57,28639.12,31088.0,108928.0,17000.0
2,3,-0.0,-19.9636,0.0,0.0,300.0,0.0,322.22,22.22,0.0,80.0,-0.0,42169.57,28639.12,31088.0,108928.0,17000.0
2,4,-0.0,-30.0208,0.0,0.0,300.0,0.0,500.0,200.0,0.0,800.0,-0.0,42169.57,28639.12,31088.0,108928.0,17000.0
2,5,50.0,-7.4008,42.5992,50.0,200.0,75.0,25.0,-0.0,100.0,400.0,50.0,42169.57,28639.12,31088.0,108928.0,17000.0
2,6,50.0,-29.8786,20.1214,40.0,100.0,0.0,0.0,-0.0,100.0,0.0,27.52,42169.57,28639.12,31088.0,108928.0,17000.0
3,1,43.1,15.3849,58.4849,43.1,100.0,11.11,200.0,111.11,0.0,400.0,50.0,214.63,16001.68,18535.0,84856.0,17222.0
3,2,50.0,-46.0218,3.9782,50.0,200.0,0.0,100.0,-0.0,100.0,0.0,11.64,214.63,16001.68,18535.0,84856.0,17222.0
3,3,-0.0,6.1915,6.1915,0.0,300.0,0.0,322.22,22.22,0.0,80.0,-0.0,214.63,16001.68,18535.0,84856.0,17222.0
3,4,-0.0,-8.9182,0.0,0.0,300.0,0.0,500.0,200.0,0.0,800.0,-0.0,214.63,16001.68,18535.0,84856.0,17222.0
3,5,50.0,-62.2079,0.0,50.0,200.0,0.0,25.0,-0.0,175.0,100.0,44.43,214.63,16001.68,18535.0,84856.0,17222.0
3,6,50.0,-44.4332,5.5668,40.0,100.0,75.0,0.0,-0.0,25.0,0.0,50.0,214.63,16001.68,18535.0,84856.0,17222.0
4,1,43.1,49.4005,92.5005,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,72268.11,13968.0,12268.0,172312.0,85136.0
4,2,50.0,20.4763,70.4763,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,70.48,72268.11,13968.0,12268.0,172312.0,85136.0
4,3,-0.0,32.1658,32.1658,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,72268.11,13968.0,12268.0,172312.0,85136.0
4,4,-0.0,61.8573,61.8573,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,72268.11,13968.0,12268.0,172312.0,85136.0
4,5,50.0,48.3604,98.3604,50.0,200.0,100.0,25.0,0.0,75.0,60.0,98.36,72268.11,13968.0,12268.0,172312.0,85136.0
4,6,50.0,14.0428,64.0428,40.0,100.0,100.0,0.0,0.0,0.0,60.0,50.0,72268.11,13968.0,12268.0,172312.0,85136.0
5,1,43.1,-35.6299,7.4701,43.1,100.0,11.11,200.0,111.11,-0.0,400.0,50.0,51753.45,8055.24,9533.0,115024.0,45250.0
5,2,50.0,-21.4591,28.5409,50.0,200.0,0.0,100.0,-0.0,100.0,-0.0,36.21,51753.45,8055.24,9533.0,115024.0,45250.0
5,3,-0.0,68.7405,68.7405,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,51753.45,8055.24,9533.0,115024.0,45250.0
5,4,-0.0,-22.9793,0.0,0.0,300.0,0.0,383.33,83.33,0.0,300.0,-0.0,51753.45,8055.24,9533.0,115024.0,45250.0
5,5,50.0,7.568,57.568,50.0,200.0,100.0,25.0,0.0,75.0,0.0,57.57,51753.45,8055.24,9533.0,115024.0,45250.0
5,6,50.0,4.299,54.299,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,51753.45,8055.24,9533.0,115024.0,45250.0
6,1,43.1,-4.2133,38.8867,43.1,100.0,0.0,200.0,100.0,-0.0,360.0,43.1,57984.04,-315.0,-2015.0,166312.0,82136.0
6,2,50.0,60.5894,110.5894,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,110.59,57984.04,-315.0,-2015.0,166312.0,82136.0
6,3,-0.0,22.3205,22.3205,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,57984.04,-315.0,-2015.0,166312.0,82136.0
6,4,-0.0,5.5426,5.5426,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,57984.04,-315.0,-2015.0,166312.0,82136.0
6,5,50.0,0.7468,50.7468,50.0,200.0,100.0,25.0,0.0,75.0,60.0,50.75,57984.04,-315.0,-2015.0,166312.0,82136.0
6,6,50.0,25.8598,75.8598,40.0,100.0,100.0,0.0,0.0,0.0,60.0,50.0,57984.04,-315.0,-2015.0,166312.0,82136.0
7,1,43.1,-10.9641,32.1359,43.1,100.0,0.0,200.0,100.0,-0.0,360.0,43.1,40668.42,-1571.76,666.0,114304.0,48300.0
7,2,50.0,20.7537,70.7537,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,70.75,40668.42,-1571.76,666.0,114304.0,48300.0
7,3,-0.0,-114.3537,0.0,0.0,300.0,0.0,210.0,0.0,90.0,0.0,-0.0,40668.42,-1571.76,666.0,114304.0,48300.0
