sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
7,5,50.0,-10.4642,39.5358,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,39.54,50435.04,8200.24,10438.0,115984.0,43556.0
7,6,50.0,17.2132,67.2132,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,50435.04,8200.24,10438.0,115984.0,43556.0
8,1,43.1,-0.419,42.681,43.1,100.0,0.0,200.0,100.0,-0.0,360.0,43.1,64313.37,3552.0,4312.0,151248.0,77004.0
8,2,50.0,20.6681,70.6681,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,70.67,64313.37,3552.0,4312.0,151248.0,77004.0
8,3,-0.0,10.8684,10.8684,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,64313.37,3552.0,4312.0,151248.0,77004.0
8,4,-0.0,-5.0796,0.0,0.0,300.0,0.0,285.0,0.0,15.0,300.0,-0.0,64313.37,3552.0,4312.0,151248.0,77004.0
8,5,50.0,21.8446,71.8446,50.0,200.0,100.0,25.0,0.0,75.0,0.0,71.84,64313.37,3552.0,4312.0,151248.0,77004.0
8,6,50.0,3.8036,53.8036,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,64313.37,3552.0,4312.0,151248.0,77004.0
9,1,43.1,29.2908,72.3908,43.1,100.0,11.11,200.0,111.11,0.0,400.0,50.0,60943.99,17243.24,18721.0,136152.0,50754.0
9,2,50.0,-8.8045,41.1955,50.0,200.0,0.0,100.0,-0.0,100.0,-0.0,48.86,60943.99,17243.24,18721.0,136152.0,50754.0
9,3,-0.0,-24.0544,0.0,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,60943.99,17243.24,18721.0,136152.0,50754.0
9,4,-0.0,3.9691,3.9691,0.0,300.0,0.0,383.33,83.33,0.0,300.0,-0.0,60943.99,17243.24,18721.0,136152.0,50754.0
9,5,50.0,21.3304,71.3304,50.0,200.0,100.0,25.0,0.0,75.0,0.0,71.33,60943.99,17243.24,18721.0,136152.0,50754.0
9,6,50.0,8.0996,58.0996,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,60943.99,17243.24,18721.0,136152.0,50754.0
10,1,43.1,-1.5421,41.5579,43.1,100.0,0.0,200.0,100.0,-0.0,360.0,43.1,59119.36,17644.24,19122.0,124208.0,43700.0
10,2,50.0,3.2717,53.2717,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,53.27,59119.36,17644.24,19122.0,124208.0,43700.0
10,3,-0.0,12.6988,12.6988,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,59119.36,17644.24,19122.0,124208.0,43700.0
10,4,-0.0,-19.5949,0.0,0.0,300.0,0.0,394.44,94.44,0.0,700.0,-0.0,59119.36,17644.24,19122.0,124208.0,43700.0
10,5,50.0,5.9768,55.9768,50.0,200.0,100.0,25.0,0.0,75.0,400.0,55.98,59119.36,17644.24,19122.0,124208.0,43700.0
10,6,50.0,-1.0842,48.9158,40.0,100.0,0.0,0.0,0.0,100.0,0.0,48.92,59119.36,17644.24,19122.0,124208.0,43700.0
11,1,43.1,37.2823,80.3823,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,44024.9,2549.24,4027.0,117692.0,48372.0
11,2,50.0,12.3975,62.3975,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,62.4,44024.9,2549.24,4027.0,117692.0,48372.0
11,3,-0.0,23.4565,23.4565,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,44024.9,2549.24,4027.0,117692.0,48372.0
11,4,-0.0,-19.6957,0.0,0.0,300.0,0.0,394.44,94.44,0.0,700.0,-0.0,44024.9,2549.24,4027.0,117692.0,48372.0
11,5,50.0,8.5283,58.5283,50.0,200.0,100.0,25.0,0.0,75.0,400.0,58.53,44024.9,2549.24,4027.0,117692.0,48372.0
11,6,50.0,-40.734,9.266,40.0,100.0,0.0,0.0,-0.0,100.0,0.0,9.27,44024.9,2549.24,4027.0,117692.0,48372.0
12,1,43.1,-5.6223,37.4777,43.1,100.0,11.11,200.0,111.11,-0.0,400.0,50.0,57015.22,13318.24,14796.0,125936.0,46022.0
12,2,50.0,-9.75,40.25,50.0,200.0,0.0,100.0,-0.0,100.0,-0.0,47.92,57015.22,13318.24,14796.0,125936.0,46022.0
12,3,-0.0,22.3192,22.3192,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,57015.22,13318.24,14796.0,125936.0,46022.0
12,4,-0.0,32.6159,32.6159,0.0,300.0,0.0,383.33,83.33,0.0,300.0,-0.0,57015.22,13318.24,14796.0,125936.0,46022.0
12,5,50.0,9.4952,59.4952,50.0,200.0,100.0,25.0,0.0,75.0,0.0,59.5,57015.22,13318.24,14796.0,125936.0,46022.0
12,6,50.0,8.4584,58.4584,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,57015.22,13318.24,14796.0,125936.0,46022.0
13,1,43.1,24.0629,67.1629,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,57944.37,15707.24,17945.0,127144.0,46892.0
13,2,50.0,3.6776,53.6776,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,53.68,57944.37,15707.24,17945.0,127144.0,46892.0
13,3,-0.0,-5.5363,0.0,0.0,300.0,0.0,210.0,0.0,90.0,0.0,-0.0,57944.37,15707.24,17945.0,127144.0,46892.0
13,4,-0.0,-7.9219,0.0,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,57944.37,15707.24,17945.0,127144.0,46892.0
13,5,50.0,13.5459,63.5459,50.0,200.0,100.0,25.0,0.0,75.0,400.0,63.55,57944.37,15707.24,17945.0,127144.0,46892.0
13,6,50.0,-9.6985,40.3015,40.0,100.0,0.0,0.0,0.0,100.0,0.0,40.3,57944.37,15707.24,17945.0,127144.0,46892.0
14,1,43.1,-6.6475,36.4525,43.1,100.0,11.11,200.0,111.11,-0.0,400.0,50.0,49866.51,25323.8,27646.0,118780.0,26142.0
14,2,50.0,-10.139,39.861,50.0,200.0,0.0,100.0,-0.0,100.0,-0.0,47.53,49866.51,25323.8,27646.0,118780.0,26142.0
14,3,-0.0,8.8293,8.8293,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,49866.51,25323.8,27646.0,118780.0,26142.0
14,4,-0.0,17.0366,17.0366,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,49866.51,25323.8,27646.0,118780.0,26142.0
14,5,50.0,9.7961,59.7961,50.0,200.0,100.0,25.0,0.0,75.0,400.0,59.8,49866.51,25323.8,27646.0,118780.0,26142.0
14,6,50.0,-17.7084,32.2916,40.0,100.0,0.0,0.0,-0.0,100.0,0.0,32.29,49866.51,25323.8,27646.0,118780.0,26142.0
15,1,43.1,16.3725,59.4725,43.1,100.0,11.11,200.0,111.11,0.0,400.0,50.0,35706.95,20547.68,23081.0,96960.0,17222.0
15,2,50.0,-25.8804,24.1196,50.0,200.0,0.0,100.0,-0.0,100.0,0.0,31.79,35706.95,20547.68,23081.0,96960.0,17222.0
15,3,-0.0,-14.8308,0.0,0.0,300.0,0.0,322.22,22.22,0.0,80.0,-0.0,35706.95,20547.68,23081.0,96960.0,17222.0
15,4,-0.0,2.8315,2.8315,0.0,300.0,0.0,500.0,200.0,0.0,800.0,-0.0,35706.95,20547.68,23081.0,96960.0,17222.0
15,5,50.0,-16.333,33.667,50.0,200.0,0.0,25.0,-0.0,175.0,100.0,39.41,35706.95,20547.68,23081.0,96960.0,17222.0
15,6,50.0,-5.7448,44.2552,40.0,100.0,75.0,0.0,0.0,25.0,0.0,50.0,35706.95,20547.68,23081.0,96960.0,17222.0
16,1,43.1,-13.601,29.499,43.1,100.0,0.0,200.0,100.0,-0.0,360.0,43.1,55462.36,13986.24,15464.0,121648.0,44744.0
16,2,50.0,2.5767,52.5767,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,52.58,55462.36,13986.24,15464.0,121648.0,44744.0
16,3,-0.0,24.294,24.294,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,55462.36,13986.24,15464.0,121648.0,44744.0
16,4,-0.0,-5.3729,0.0,0.0,300.0,0.0,394.44,94.44,0.0,700.0,-0.0,55462.36,13986.24,15464.0,121648.0,44744.0
16,5,50.0,9.2802,59.2802,50.0,200.0,100.0,25.0,0.0,75.0,400.0,59.28,55462.36,13986.24,15464.0,121648.0,44744.0
16,6,50.0,-12.7043,37.2957,40.0,100.0,0.0,0.0,-0.0,100.0,0.0,37.3,55462.36,13986.24,15464.0,121648.0,44744.0
17,1,43.1,4.5901,47.6901,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,65437.27,23200.24,25438.0,145952.0,55704.0
17,2,50.0,4.6783,54.6783,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,54.68,65437.27,23200.24,25438.0,145952.0,55704.0
17,3,-0.0,-1.5151,0.0,0.0,300.0,0.0,210.0,0.0,90.0,0.0,-0.0,65437.27,23200.24,25438.0,145952.0,55704.0
17,4,-0.0,0.8642,0.8642,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,65437.27,23200.24,25438.0,145952.0,55704.0
17,5,50.0,34.5796,84.5796,50.0,200.0,100.0,25.0,0.0,75.0,400.0,84.58,65437.27,23200.24,25438.0,145952.0,55704.0
17,6,50.0,-6.7415,43.2585,40.0,100.0,0.0,0.0,0.0,100.0,0.0,43.26,65437.27,23200.24,25438.0,145952.0,55704.0
18,1,43.1,1.0789,44.1789,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,38102.04,-4133.76,-1896.0,101152.0,43188.0
18,2,50.0,7.9667,57.9667,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,57.97,38102.04,-4133.76,-1896.0,101152.0,43188.0
18,3,-0.0,-5.3848,0.0,0.0,300.0,0.0,210.0,0.0,90.0,0.0,-0.0,38102.04,-4133.76,-1896.0,101152.0,43188.0
18,4,-0.0,4.1138,4.1138,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,38102.04,-4133.76,-1896.0,101152.0,43188.0
18,5,50.0,-28.0828,21.9172,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,21.92,38102.04,-4133.76,-1896.0,101152.0,43188.0
18,6,50.0,7.2068,57.2068,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,38102.04,-4133.76,-1896.0,101152.0,43188.0
19,1,43.1,11.6751,54.7751,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,57931.11,15693.24,17931.0,124584.0,44548.0
19,2,50.0,4.9597,54.9597,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,54.96,57931.11,15693.24,17931.0,124584.0,44548.0
19,3,-0.0,-7.7415,0.0,0.0,300.0,0.0,210.0,0.0,90.0,0.0,-0.0,57931.11,15693.24,17931.0,124584.0,44548.0
19,4,-0.0,2.3482,2.3482,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,57931.11,15693.24,17931.0,124584.0,44548.0
19,5,50.0,6.4068,56.4068,50.0,200.0,100.0,25.0,0.0,75.0,400.0,56.41,57931.11,15693.24,17931.0,124584.0,44548.0
19,6,50.0,-4.3774,45.6226,40.0,100.0,0.0,0.0,0.0,100.0,0.0,45.62,57931.11,15693.24,17931.0,124584.0,44548.0
20,1,43.1,-14.4802,28.6198,43.1,100.0,0.0,200.0,100.0,-0.0,360.0,47.5,62251.15,18858.68,20252.0,135672.0,50336.0
20,2,50.0,-4.8904,45.1096,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,62251.15,18858.68,20252.0,135672.0,50336.0
20,3,-0.0,-15.9339,0.0,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,62251.15,18858.68,20252.0,135672.0,50336.0
20,4,-0.0,28.2596,28.2596,0.0,300.0,0.0,383.33,83.33,0.0,300.0,-0.0,62251.15,18858.68,20252.0,135672.0,50336.0
20,5,50.0,20.839,70.839,50.0,200.0,100.0,25.0,0.0,75.0,0.0,70.84,62251.15,18858.68,20252.0,135672.0,50336.0
20,6,50.0,7.7626,57.7626,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,62251.15,18858.68,20252.0,135672.0,50336.0
21,1,43.1,27.9355,71.0355,43.1,100.0,0.0,200.0,100.0,0.0,360.0,47.44,61098.76,17706.68,19100.0,132512.0,48768.0
21,2,50.0,-4.8254,45.1746,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,61098.76,17706.68,19100.0,132512.0,48768.0
21,3,-0.0,17.671,17.671,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,61098.76,17706.68,19100.0,132512.0,48768.0
21,4,-0.0,-3.7476,0.0,0.0,300.0,0.0,383.33,83.33,0.0,300.0,-0.0,61098.76,17706.68,19100.0,132512.0,48768.0
21,5,50.0,16.9197,66.9197,50.0,200.0,100.0,25.0,0.0,75.0,0.0,66.92,61098.76,17706.68,19100.0,132512.0,48768.0
21,6,50.0,15.5502,65.5502,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,61098.76,17706.68,19100.0,132512.0,48768.0
22,1,43.1,-5.5954,37.5046,43.1,100.0,0.0,200.0,100.0,-0.0,360.0,46.39,57151.64,13758.68,15152.0,120444.0,42944.0
22,2,50.0,-3.6602,46.3398,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,57151.64,13758.68,15152.0,120444.0,42944.0
22,3,-0.0,-28.2095,0.0,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,57151.64,13758.68,15152.0,120444.0,42944.0
22,4,-0.0,-6.0496,0.0,0.0,300.0,0.0,383.33,83.33,0.0,300.0,-0.0,57151.64,13758.68,15152.0,120444.0,42944.0
22,5,50.0,2.3644,52.3644,50.0,200.0,100.0,25.0,0.0,75.0,0.0,52.36,57151.64,13758.68,15152.0,120444.0,42944.0
22,6,50.0,9.3181,59.3181,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,57151.64,13758.68,15152.0,120444.0,42944.0
23,1,43.1,15.4658,58.5658,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,58003.97,-2757.0,-1997.0,124096.0,63428.0
23,2,50.0,7.762,57.762,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,57.76,58003.97,-2757.0,-1997.0,124096.0,63428.0
23,3,-0.0,-12.7643,0.0,0.0,300.0,0.0,285.0,0.0,15.0,300.0,-0.0,58003.97,-2757.0,-1997.0,124096.0,63428.0
23,4,-0.0,12.3271,12.3271,0.0,300.0,0.0,300.0,0.0,0.0,300.0,-0.0,58003.97,-2757.0,-1997.0,124096.0,63428.0
23,5,50.0,0.8132,50.8132,50.0,200.0,100.0,25.0,0.0,75.0,0.0,50.81,58003.97,-2757.0,-1997.0,124096.0,63428.0
23,6,50.0,10.0134,60.0134,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,58003.97,-2757.0,-1997.0,124096.0,63428.0
24,1,43.1,-20.0196,23.0804,43.1,100.0,11.11,200.0,111.11,-0.0,400.0,50.0,56795.51,13097.24,14575.0,125904.0,46842.0
24,2,50.0,-11.8378,38.1622,50.0,200.0,0.0,100.0,-0.0,100.0,-0.0,45.83,56795.51,13097.24,14575.0,125904.0,46842.0
24,3,-0.0,-0.8537,0.0,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,56795.51,13097.24,14575.0,125904.0,46842.0
24,4,-0.0,33.7195,33.7195,0.0,300.0,0.0,383.33,83.33,0.0,300.0,-0.0,56795.51,13097.24,14575.0,125904.0,46842.0
24,5,50.0,11.5466,61.5466,50.0,200.0,100.0,25.0,0.0,75.0,0.0,61.55,56795.51,13097.24,14575.0,125904.0,46842.0
24,6,50.0,1.0,51.0,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,56795.51,13097.24,14575.0,125904.0,46842.0
25,1,43.1,13.716,56.816,43.1,100.0,11.11,200.0,111.11,0.0,400.0,50.0,30996.52,6452.8,8775.0,82872.0,22222.0
25,2,50.0,-35.9481,14.0519,50.0,200.0,0.0,100.0,-0.0,100.0,-0.0,21.72,30996.52,6452.8,8775.0,82872.0,22222.0
25,3,-0.0,1.8591,1.8591,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,30996.52,6452.8,8775.0,82872.0,22222.0
25,4,-0.0,-5.0052,0.0,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,30996.52,6452.8,8775.0,82872.0,22222.0
25,5,50.0,-18.1299,31.8701,50.0,200.0,0.0,25.0,-0.0,175.0,0.0,31.87,30996.52,6452.8,8775.0,82872.0,22222.0
25,6,50.0,0.8818,50.8818,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,30996.52,6452.8,8775.0,82872.0,22222.0
26,1,43.1,19.916,63.016,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,57702.61,16226.24,17704.0,119928.0,41376.0
26,2,50.0,3.4427,53.4427,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,53.44,57702.61,16226.24,17704.0,119928.0,41376.0
