sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
1,1,43.1,18.1542,61.2542,43.1,100.0,0.0,201.0,101.0,0.0,363.6,44.17,56689.64,32611.32,34865.16,120780.84,25504.0
1,2,50.0,-1.185,48.815,50.0,200.0,9.1,100.0,-0.0,90.9,-0.0,50.0,56689.64,32611.32,34865.16,120780.84,25504.0
1,3,-0.0,6.0527,6.0527,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,56689.64,32611.32,34865.16,120780.84,25504.0
1,4,-0.0,4.3493,4.3493,0.0,300.0,0.0,495.56,195.56,0.0,704.0,-0.0,56689.64,32611.32,34865.16,120780.84,25504.0
1,5,50.0,-1.0056,48.9944,50.0,200.0,0.0,25.0,-0.0,175.0,4.0,48.99,56689.64,32611.32,34865.16,120780.84,25504.0
1,6,50.0,9.2097,59.2097,40.0,101.0,100.0,0.0,0.0,1.0,0.0,59.21,56689.64,32611.32,34865.16,120780.84,25504.0
2,1,43.1,15.2542,58.3542,43.1,100.0,0.0,201.0,101.0,0.0,363.6,43.83,51064.54,34125.68,36582.16,113841.48,17020.0
2,2,50.0,-0.808,49.192,50.0,200.0,9.1,100.0,-0.0,90.9,0.0,50.0,51064.54,34125.68,36582.16,113841.48,17020.0
2,3,-0.0,-8.5558,0.0,0.0,300.0,0.0,322.22,22.22,0.0,80.0,-0.0,51064.54,34125.68,36582.16,113841.48,17020.0
2,4,-0.0,-12.8661,0.0,0.0,300.0,0.0,500.0,200.0,0.0,800.0,-0.0,51064.54,34125.68,36582.16,113841.48,17020.0
2,5,50.0,-3.1718,46.8282,50.0,200.0,76.0,25.0,-0.0,99.0,404.0,50.0,51064.54,34125.68,36582.16,113841.48,17020.0
2,6,50.0,-12.8051,37.1949,40.0,101.0,0.0,0.0,-0.0,101.0,0.0,40.37,51064.54,34125.68,36582.16,113841.48,17020.0
3,1,43.1,6.5935,49.6935,43.1,100.0,10.11,201.0,111.11,0.0,400.0,50.0,29610.56,25086.68,27620.0,104456.0,17222.0
3,2,50.0,-19.7236,30.2764,50.0,200.0,0.0,100.0,-0.0,100.0,0.0,37.94,29610.56,25086.68,27620.0,104456.0,17222.0
3,3,-0.0,2.6535,2.6535,0.0,300.0,0.0,322.22,22.22,0.0,80.0,-0.0,29610.56,25086.68,27620.0,104456.0,17222.0
3,4,-0.0,-3.8221,0.0,0.0,300.0,0.0,500.0,200.0,0.0,800.0,-0.0,29610.56,25086.68,27620.0,104456.0,17222.0
3,5,50.0,-26.6605,23.3395,50.0,200.0,0.0,25.0,-0.0,175.0,100.0,42.38,29610.56,25086.68,27620.0,104456.0,17222.0
3,6,50.0,-19.0428,30.9572,40.0,101.0,76.0,0.0,-0.0,25.0,0.0,50.0,29610.56,25086.68,27620.0,104456.0,17222.0
4,1,43.1,21.1717,64.2717,43.1,100.0,0.0,201.0,101.0,0.0,363.6,43.1,64029.43,5706.68,4030.68,143480.08,71828.0
4,2,50.0,8.7755,58.7755,50.0,200.0,100.0,100.0,0.0,-0.0,363.6,58.78,64029.43,5706.68,4030.68,143480.08,71828.0
4,3,-0.0,13.7853,13.7853,0.0,300.0,0.0,300.0,0.0,0.0,363.6,-0.0,64029.43,5706.68,4030.68,143480.08,71828.0
4,4,-0.0,26.5103,26.5103,0.0,300.0,0.0,300.0,0.0,0.0,363.6,-0.0,64029.43,5706.68,4030.68,143480.08,71828.0
4,5,50.0,20.7259,70.7259,50.0,200.0,100.0,25.0,0.0,75.0,63.6,70.73,64029.43,5706.68,4030.68,143480.08,71828.0
4,6,50.0,6.0184,56.0184,40.0,101.0,100.0,0.0,0.0,1.0,59.6,56.02,64029.43,5706.68,4030.68,143480.08,71828.0
5,1,43.1,-15.27,27.83,43.1,100.0,10.11,201.0,111.11,-0.0,400.0,50.0,55368.37,11859.16,13345.36,122311.36,44054.0
