sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
1,1,43.1,18.1542,61.2542,43.1,100.0,0.0,200.0,100.0,0.0,360.0,44.17,60331.72,16935.68,18329.0,125660.0,45996.0
1,2,50.0,-1.185,48.815,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,60331.72,16935.68,18329.0,125660.0,45996.0
1,3,-0.0,6.0527,6.0527,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,60331.72,16935.68,18329.0,125660.0,45996.0
1,4,-0.0,4.3493,4.3493,0.0,300.0,0.0,383.33,83.33,0.0,300.0,-0.0,60331.72,16935.68,18329.0,125660.0,45996.0
1,5,61.0,-1.0056,59.9944,50.0,200.0,100.0,25.0,0.0,75.0,0.0,59.99,60331.72,16935.68,18329.0,125660.0,45996.0
1,6,61.0,9.2097,70.2097,40.0,100.0,100.0,0.0,0.0,0.0,-0.0,50.0,60331.72,16935.68,18329.0,125660.0,45996.0
2,1,43.1,15.2542,58.3542,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.83,59095.56,34855.24,37093.0,123072.0,25132.0
2,2,50.0,-0.808,49.192,50.0,200.0,10.0,100.0,-0.0,90.0,-0.0,50.0,59095.56,34855.24,37093.0,123072.0,25132.0
2,3,-0.0,-8.5558,0.0,0.0,300.0,0.0,300.0,-0.0,0.0,0.0,-0.0,59095.56,34855.24,37093.0,123072.0,25132.0
2,4,-0.0,-12.8661,0.0,0.0,300.0,0.0,494.44,194.44,0.0,700.0,-0.0,59095.56,34855.24,37093.0,123072.0,25132.0
2,5,61.0,-3.1718,57.8282,50.0,200.0,100.0,25.0,0.0,75.0,400.0,57.83,59095.56,34855.24,37093.0,123072.0,25132.0
2,6,61.0,-12.8051,48.1949,40.0,100.0,0.0,0.0,0.0,100.0,0.0,48.19,59095.56,34855.24,37093.0,123072.0,25132.0
3,1,43.1,6.5935,49.6935,43.1,100.0,11.11,200.0,111.11,0.0,400.0,50.0,38410.56,25086.68,27620.0,104256.0,17222.0
3,2,50.0,-19.7236,30.2764,50.0,200.0,0.0,100.0,-0.0,100.0,0.0,37.94,38410.56,25086.68,27620.0,104256.0,17222.0
3,3,-0.0,2.6535,2.6535,0.0,300.0,0.0,322.22,22.22,0.0,80.0,-0.0,38410.56,25086.68,27620.0,104256.0,17222.0
3,4,-0.0,-3.8221,0.0,0.0,300.0,0.0,500.0,200.0,0.0,800.0,-0.0,38410.56,25086.68,27620.0,104256.0,17222.0
3,5,61.0,-26.6605,34.3395,50.0,200.0,0.0,25.0,-0.0,175.0,100.0,42.38,38410.56,25086.68,27620.0,104256.0,17222.0
3,6,61.0,-19.0428,41.9572,40.0,100.0,75.0,0.0,0.0,25.0,0.0,50.0,38410.56,25086.68,27620.0,104256.0,17222.0
4,1,43.1,21.1717,64.2717,43.1,100.0,0.0,200.0,100.0,0.0,360.0,43.1,67277.76,20979.0,7279.0,149648.0,61804.0
4,2,50.0,8.7755,58.7755,50.0,200.0,100.0,100.0,0.0,-0.0,360.0,58.78,67277.76,20979.0,7279.0,149648.0,61804.0
4,3,-0.0,13.7853,13.7853,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,67277.76,20979.0,7279.0,149648.0,61804.0
4,4,-0.0,26.5103,26.5103,0.0,300.0,0.0,300.0,0.0,0.0,360.0,-0.0,67277.76,20979.0,7279.0,149648.0,61804.0
4,5,61.0,20.7259,81.7259,50.0,200.0,100.0,25.0,0.0,75.0,60.0,81.73,67277.76,20979.0,7279.0,149648.0,61804.0
4,6,61.0,6.0184,67.0184,40.0,100.0,100.0,0.0,0.0,0.0,60.0,50.0,67277.76,20979.0,7279.0,149648.0,61804.0
5,1,43.1,-15.27,27.83,43.1,100.0,11.11,200.0,111.11,-0.0,400.0,50.0,58661.0,14960.24,16438.0,130168.0,47918.0
