sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
1,1,NaN,NaN,60.0,60.0,100.0,0.0,200.0,100.0,0.0,360.0,43.1,13948.89,137111.12,19060.0,130440.0,-69200.0
1,2,NaN,NaN,60.0,60.0,200.0,10.0,100.0,0.0,90.0,-0.0,50.0,13948.89,137111.12,19060.0,130440.0,-69200.0
1,3,NaN,NaN,60.0,60.0,300.0,0.0,500.0,200.0,0.0,720.0,-0.0,13948.89,137111.12,19060.0,130440.0,-69200.0
1,4,NaN,NaN,60.0,60.0,300.0,0.0,322.22,22.22,0.0,800.0,-0.0,13948.89,137111.12,19060.0,130440.0,-69200.0
1,5,NaN,NaN,60.0,60.0,200.0,100.0,25.0,0.0,75.0,500.0,61.0,13948.89,137111.12,19060.0,130440.0,-69200.0
1,6,NaN,NaN,60.0,60.0,100.0,100.0,0.0,0.0,-0.0,500.0,61.0,13948.89,137111.12,19060.0,130440.0,-69200.0
