Time,DemandDelta,Demand,ChargeLimitOffset,ChargeLimit,BaselineCharge,Status,Price,PriceChange,Objective,ObjectiveChange,SecantPrice,Charge,EffectiveDemand,NetDemand,UnusedRenewable,ZeroPrice
1,0.0,100.0,,200.0,100.0,OPTIMAL,43.1,0.0,19448.88888888889,0.0,,100.0,200.0,200.0,0.0,false
1,-1.0e-6,99.999999,,200.0,100.0,OPTIMAL,43.1,0.0,19448.888716488887,-0.00017240000306628644,43.10000076657161,100.000001,200.0,200.0,0.0,false
1,-1.778279410038923e-6,99.99999822172059,,200.0,100.0,OPTIMAL,43.1,0.0,19448.88858231352,-0.0003065753699047491,43.09999994573951,100.00000177827941,200.0,200.0,0.0,false
1,-3.162277660168379e-6,99.99999683772234,,200.0,100.0,OPTIMAL,43.1,0.0,19448.88834371222,-0.0005451766701298766,43.10000011991736,100.00000316227766,200.0,200.0,0.0,false
1,-5.623413251903491e-6,99.99999437658674,,200.0,100.0,OPTIMAL,43.1,0.0,19448.887919412446,-0.0009694764448795468,43.100000011175815,100.00000562341326,200.0,200.0,0.0,false
1,-1.0e-5,99.99999,,200.0,100.0,OPTIMAL,43.1,0.0,19448.88716488889,-0.001724000001559034,43.10000003897585,100.00001,200.0,200.0,0.0,false
1,-1.778279410038923e-5,99.9999822172059,,200.0,100.0,OPTIMAL,43.1,0.0,19448.885823135184,-0.0030657537063234486,43.100000048028804,100.0000177827941,200.0,200.0,0.0,false
1,-3.1622776601683795e-5,99.9999683772234,,200.0,100.0,OPTIMAL,43.1,0.0,19448.883437122204,-0.005451766686746851,43.10000000487437,100.0000316227766,200.0,200.0,0.0,false
1,-5.623413251903491e-5,99.99994376586749,,200.0,100.0,OPTIMAL,43.1,0.0,19448.87919412444,-0.009694764448795468,43.100000011175815,100.00005623413251,200.0,200.0,0.0,false
1,-0.0001,99.9999,,200.0,100.0,OPTIMAL,43.1,0.0,19448.87164888889,-0.017240000001038425,43.10000000259606,100.0001,200.0,200.0,0.0,false
1,-0.00017782794100389227,99.999822172059,,200.0,100.0,OPTIMAL,43.1,0.0,19448.85823135186,-0.030657537030492676,43.10000000199863,100.000177827941,200.0,200.0,0.0,false
1,-0.00031622776601683794,99.99968377223398,,200.0,100.0,OPTIMAL,43.1,0.0,19448.834371222027,-0.05451766686383053,43.100000001998296,100.00031622776602,200.0,200.0,0.0,false
1,-0.0005623413251903491,99.99943765867481,,200.0,100.0,OPTIMAL,43.1,0.0,19448.791941244424,-0.0969476444661268,43.1000000014718,100.00056234132519,200.0,200.0,0.0,false
1,-0.001,99.999,,200.0,100.0,OPTIMAL,43.1,0.0,19448.716488888887,-0.1724000000031083,43.10000000077707,100.001,200.0,200.0,0.0,false
1,-0.0017782794100389228,99.99822172058997,,200.0,100.0,OPTIMAL,43.1,0.0,19448.5823135186,-0.30657537029037485,43.09999999995284,100.00177827941003,200.0,200.0,0.0,false
1,-0.0031622776601683794,99.99683772233983,,200.0,100.0,OPTIMAL,43.1,0.0,19448.343712220278,-0.5451766686128394,43.099999999985044,100.00316227766017,200.0,200.0,0.0,false
1,-0.005623413251903491,99.9943765867481,,200.0,100.0,OPTIMAL,43.1,0.0,19447.919412444262,-0.9694764446285262,43.1000000000162,100.0056234132519,200.0,200.0,0.0,false
1,-0.010000000000000002,99.99,,200.0,100.0,OPTIMAL,43.1,0.0,19447.16488888889,-1.724000000001979,43.10000000004947,100.01,200.0,200.0,0.0,false
1,-0.01778279410038923,99.98221720589962,,200.0,100.0,OPTIMAL,43.1,0.0,19445.82313518598,-3.0657537029110244,43.100000000055125,100.01778279410038,200.0,200.0,0.0,false
1,-0.03162277660168379,99.96837722339832,,200.0,100.0,OPTIMAL,43.1,0.0,19443.43712220276,-5.451766686132032,43.10000000001381,100.03162277660168,200.0,200.0,0.0,false
1,-0.05623413251903491,99.94376586748096,,200.0,100.0,OPTIMAL,43.1,0.0,19439.194124442605,-9.694764446285262,43.100000000016195,100.05623413251904,200.0,200.0,0.0,false
1,-0.1,99.9,,200.0,100.0,OPTIMAL,43.1,0.0,19431.64888888889,-17.2400000000016,43.100000000004,100.1,200.0,200.0,0.0,false
1,-0.1778279410038923,99.8221720589961,,200.0,100.0,OPTIMAL,43.1,0.0,19418.231351859817,-30.657537029073865,43.10000000000398,100.1778279410039,200.0,200.0,0.0,false
1,-0.31622776601683794,99.68377223398316,,200.0,100.0,OPTIMAL,43.1,0.0,19394.371222027585,-54.51766686130577,43.1000000000023,100.31622776601684,200.0,200.0,0.0,false
1,-0.5623413251903491,99.43765867480965,,200.0,100.0,OPTIMAL,43.1,0.0,19351.941244426074,-96.94764446281624,43.10000000000003,100.56234132519035,200.0,200.0,0.0,false
